nr S.	scalenie	znaczenie 1	znaczenie 2	znaczenie 3	POCHODZENIE	CZĘSTOŚĆ WYSTĄPIEŃ	WYSTĄPIENIA
G228	G228 ἀληθινός [alēthinos]; przymiotnik	prawdziwy	zgodny z prawdą				
G229	G229 ἀλήθω [alēthō]; czasownik	mleć					
G230	G230 ἀληθῶς [alēthōs]; przysłówek	naprawdę, zgodnie z prawdą					
G231	G231 ἁλιεύς [halieus]; rzeczownik	rybak					
G232	G232 ἁλιεύω [halieuō]; czasownik	łowić ryby					
G233	G233 ἁλίζω [halidzō]; czasownik	solić					
G234	G234 ἀλίσγεμα [alisgēma]; rzeczownik	zmaza					
G235	G235 ἀλλά [alla]; spójnik	lecz, ale, tylko, przecież					
G236	G236 ἀλλάσσω [allassō]; czasownik	zmieniać	zamieniać (coś na coś)				
G237	G237 ἀλλαχόθεν [allachothen]; przysłówek	innego miejsca	innej drogi; skądinąd				
G238	G238 ἀλληγορέω [allēgoreō]; czasownik	mówić w przenośni (alegorycznie)	mówić  inaczej				
G239	G239 ἀλληλουϊα [hallēluïa]; transliteracja słowa hebr.	halleluja - dosł. chwalcie Ja(hwe)					
G240	G240 ἀλλήλων [allēlōn]; zaimek	jeden drugiego, jedna drugą, jedni drugich itp.	nawzajem				
G241	G241 ἀλλογενής [allogenēs]; przymiotnik	obcokrajowiec (z innego kraju lub innego plemienia)					
G242	G242 ἅλλομαι [hallomai]; czasownik	skakać	wyskakiwać	wytryskiwać			
G243	G243 ἄλλος [allos]; przymiotnik	inny	drugi	różny			
G244	G244 ἀλλοτριεπίσκοπος [allotriepiskopos]; rzeczownik	wtrącający się w cudze sprawy	wścibski				
G245	G245 ἀλλότριος [allotrios]; przymiotnik	należący do innego	cudzy	obcy; wróg; cudza (własność)			
G246	G246 ἀλλόφυλος [allofylos]; przymiotnik	(człowiek) z innego narodu, z innego plemienia					
G247	G247 ἄλλως [allōs]; przysłówek	inaczej					
G248	G248 ἀλοάω [aloaō]; czasownik	młócić					
G249	G249 ἄλογος [alogos]; przymiotnik	bezrozumny	sprzeczny z rozumem	nieuzasadniony			
G250	G250 ἀλοή [aloē]; rzeczownik	aloes - aromatyczny proszek, otrzymywany z pewnego gatunku pachnącego, rozłożystego drzewa					
G251	G251 ἅλς [hals]; rzeczownik	sól	morze				
G252	G252 ἁλυκός [halykos]; przymiotnik	słony					
G253	G253 ἀλυπότερος [alypos]; przymiotnik	niezasmucony	niezatroskany				
G254	G254 ἅλυσις [halysis]; rzeczownik	łańcuch	kajdany (stąd: uwięzienie)				
G255	G255 ἀλυσιτελής [alysitelēs]; przymiotnik	niekorzystny					
G256	G256 Ἀλφαῖος [Alfaios]; rzeczownik	Alfeusz - ojciec celnika Lewiego					
G257	G257 ἅλων [halōn]; rzeczownik	klepisko	ogród, wynnica, pole uprawne				
G258	G258 ἀλώπηξ [alōpēx]; rzeczownik	lis					
G259	G259 ἅλωσις [halōsis]; rzeczownik	schwytanie					
G260	G260 ἅμα [hama]; przysłówek	razem	równocześnie, jednocześnie				
G261	G261 ἀμαθής [amathēs]; przymiotnik	nieuk					
G262	G262 ἀμαράντινος [amarantinos]; przymiotnik	niewiędnący	niewygasający				
G263	G263 ἀμάραντος [amarantos]; przymiotnik	niewygasający					
G264	G264 ἁμαρτάνω [hamartanō]; czasownik	grzeszyć (dosł.: chybiać celu)	utracić, zaniedbać, pobłądzić, zawinić	uchybić (komuś)			
G265	G265 ἁμάρτημα [hamartēma]; rzeczownik	grzech (dosł.: chybienie celu)	zaniedbanie (czegoś), pobładzenie, zawinienie	uchybienie (komuś)			
G266	G266 ἁμαρτία [hamartia]; rzeczownik	grzech (dosł.: chybianie celu)	zaniedbywanie (czegoś), błądzenie, zawinienie	uchybianie (komuś)			
G267	G267 ἀμάρτυρος [amartyros]; przymiotnik	nie posiadający świadka	niepoświadczony				
G268	G268 ἁμαρτωλός [hamartōlos]; przymiotnik	grzeszny	grzesznik				
G269	G269 ἄμαχος [amachos]; przymiotnik	niewojowniczy					
G270	G270 ἀμάω [amaō]; czasownik	żąć	ścinać				
G271	G271 ἀμέθυστος [amethystos]; rzeczownik	ametyst - półszlachetna odmiana krystalicznego kwarcu o fioletowej barwie 					
G272	G272 ἀμελέω [ameleō]; czasownik	zaniedbywać	nie dbać, nie troszczyć się  (o coś, o kogoś)	lekceważyć			
G273	G273 ἄμεμπτος [amemptos]; przymiotnik	nienaganny					
G274	G274 ἀμέμπτως [amemptōs]; przysłówek	nienagannie					
G275	G275 ἀμέριμνος [amerimnos]; przymiotnik	nie posiadający trosk					
G276	G276 ἀμετάθετος [ametathetos]; przymiotnik	niezmienialny (dosł.: niemożliwy do odłożenia na bok)					
G277	G277 ἀμετακίνητος [ametakinētos]; przymiotnik	niewzruszony (dosł.: niemożliwy do przesunięcia)					
G278	G278 ἀμεταμέλητος [ametamelētos]; przymiotnik	nieodwołalny (dosł.: taki, którego się nie żałuje)					
G279	G279 ἀμετανόητος [ametanoētos]; przymiotnik	niezdolny do zmiany myślenia					
G280	G280 ἄμετρος [ametros]; przymiotnik	niedający się zmierzyć					
G281	G281 ἀμήν [amēn]; transliteracja słowa hebr.	zaprawdę (dosł.: godzien wiary)	istotnie				
G282	G282 ἀμήτωρ [amētōr]; przymiotnik	nie posiadający matki					
G283	G283 ἀμίαντος [amiantos]; przymiotnik	bez skazy	nieskalany, nieskazitelny, niesplamiony				
G284	G284 Ἀμιναδάβ [Aminadab]; rzeczownik	Aminadab - przodek Jezusa					
G285	G285 ἄμμος [ammos]; rzeczownik	piasek					
G286	G286 ἀμνός [amnos]; rzeczownik	baranek	jagnię				
G287	G287 ἀμοιβή [amoibē]; rzeczownik	rekompensata	odpłata, zwrot				
G288	G288 ἄμπελος [ampelos]; rzeczownik	krzew winny					
G289	G289 ἀμπελουργός [ampelurgos]; przymiotnik	hodowca winnych krzewów					
G290	G290 ἀμπελών [ampelōn]; rzeczownik	plantacja winnych krzewów					
G291	G291 Ἀμπλίας [Amplias]; rzeczownik	Amplias - chrześcijanin z Rzymu					
G292	G292 αμύνομαι [amynomai]; czasownik	stwawać w obronie					
G293	G293 ἀμφίβληστρον [amfiblēstron]; rzeczownik	niewód (rodzaj okrągłej sieci o średnicy ok. 3 metrów; opadała ona na dno, zagarniając ryby).					
G294	G294 ἀμφιέννυμι [amfiennymi]; czasownik	odziewać					
G295	G295 Ἀμφίπολις [Amfipolis]; rzeczownik	Amfipolis - główne miasto południowo-wschodniej Macedonii					
G296	G296 ἄμφοδον [amfodon]; rzeczownik	ulica (dosł.: coś, co jest otoczone ulicą)					
G297	G297 ἀμφότερος [amfoteros]; przymiotnik	oboje	wszyscy				
G298	G298 ἀμώμητος [amōmētos]; przymiotnik	nienaganny	nie okryty hańbą				
G299	G299 ἄμωμος [amōmos]; przymiotnik	będący bez skazy	nieskażony, niewinny, nieskalany				
G300	G300 Ἀμών [Amōn]; rzeczownik	Amon - przodek Jezusa					
G301	G301 Ἀμώς [Amōs]; rzeczownik	Amos - przodek Jezusa					
G302	G302 ἄν [an]; partykuła	nie tłumaczy się (warunkuje lub ograniczająca czynność czasownika)					
G303	G303 ἀνά [ana]; przyimek	pomiędzy	po (z liczebnikami)				
G304	G304 ἀναβαθμός [anabathmos]; rzeczownik	schody (dosł.: wchodzenie do góry)					
G305	G305 ἀναβαίνω [anabainō]; czasownik	wchodzić (gdzieś, np. na górę)	wychodzić (z czegoś, na górę)	iść, wznosić się, wyrastać			
G306	G306 ἀναβάλλομαι [anaballōmai]; czasownik	odraczać (dosł.: rzucać do góry)	odkładać				
G307	G307 ἀναβιβάζω [anabibadzō]; czasownik	wyciągać do góry					
G308	G308 ἀναβλέπω [anablepō]; czasownik	spoglądać do góry, w górę	podnosić oczy, przejrzeć, odzyskiwać wzrok				
G309	G309 ἀνάβλεψις [anablepsis]; rzeczownik	odzyskanie wzroku	przejrzenie				
G310	G310 ἀναβοάω [anaboaō]; czasownik	wykrzykiwać	wołać głośno				
G311	G311 ἀναβολή [anabolē]; rzeczownik	zwlekanie	odraczanie, odkładanie				
G312	G312 ἀναγγέλλω [anangellō]; czasownik	oznajmiać	ujawniać (coś komuś), wyjawiać	donosić, zdawać sprawę (z czegoś)			
G313	G313 ἀναγεννάω [anagennaō]; czasownik	ponownie rodzić					
G314	G314 ἀναγινώσκω [anaginōskō]; czasownik	czytać (dosł.: rozpoznawać)	odczytywać				
G315	G315 ἀναγκάζω [anankadzō]; czasownik	zmuszać (dosł.: czynić koniecznym)	narzucać (coś komuś)	przynaglać (kogoś)			
G316	G316 ἀναγκαῖος [anankaios]; przymiotnik	niezbędny	potrzebny, konieczny, wymagany	spokrewniony, bliski			
G317	G317 ἀναγκαστῶς [anankastōs]; przysłówek	pod przymusem	z konieczności				
G318	G318 ἀναγκή [anankē]; rzeczownik	przymus, konieczność (stąd: muszę, jest koniecznością, aby)	obowiązek	udręka, niedola, cierpienie 			
G319	G319 ἀναγνωρίζομαι [anagnōridzō]; czasownik	rozpoznawać	dać się poznać (komuś)				
G320	G320 ἀνάγνωσις [anagnōsis]; rzeczownik	odczytanie	czytanie				
G321	G321 ἀνάγω [anagō]; czasownik	wyprowadzać, zaprowadzać, wprowadzać, prowadzić	odpływać, wypływać				
G322	G322 ἀναδείκνυμι [anadeiknymi]; czasownik	wskazywać	ukazywać	wyznaczać, ustanawiać			
G323	G323 ἀνάδειξις [anadeixis]; rzeczownik	ukazanie					
G324	G324 ἀναδέχομαι [anadechomai]; czasownik	otrzymywać	przyjmować (np. gości)				
G325	G325 ἀναδίδωμι [anadidōmi]; czasownik	oddawać	doręczać				
G326	G326 ἀναζάω [anadzaō]; czasownik	odżywać	odzyskiwać siły				
G327	G327 ἀναζητέω [anadzēteō]; czasownik	odszukiwać	szukać				
G328	G328 ἀναζώννυμι [anadzōnnymi]; czasownik	przepasywać wysoko					
G329	G329 ἀναζωπυρέω [anadzōpyreō]; czasownik	rozpalać na nowo					
G330	G330 ἀναθάλλω [anathallō]; czasownik	doprowadzić do ponownego rozkwitu	rozwijać				
G331	G331 ἀνάθεμα [anathema]; rzeczownik	wotum, zaklęcie (dosł.: coś odłożone do tyłu)	przeklęta (rzecz lub osoba)				
G332	G332 ἀναθεματίζω [anathematidzō]; czasownik	zaklinać (się)	zobowiązać się przysięgą				
G333	G333 ἀναθεωρέω [anatheōreō]; czasownik	starannie badać	dokładnie oglądać, przeglądać				
G334	G334 ἀνάθημα [anathēma]; rzeczownik	wotum (dosł.: coś odłożone)					
G335	G335 ἀναίδεια [anaideia]; rzeczownik	bezczelność	bezwstyd, bezlitośność	natrętność, natarczywość			
G336	G336 ἀναίρεσις [anairesis]; rzeczownik	zabicie	zgładzenie				
G337	G337 ἀναιρέω [anaireō]; czasownik	zgładzić	zabierać, niszczyć, usuwać				
G338	G338 ἀναίτιος [anaitios]; przymiotnik	niewinny					
G339	G339 ἀνακαθίζω [anakathidzō]; czasownik	siadać					
G340	G340 ἀνακαινίζω [anakainidzō]; czasownik	odnawiać	czynić nowym				
G341	G341 ἀνακαινόω [anakainoō]; czasownik	odnawiać	czynić nowym				
G342	G342 ἀνακαίνωσις [anakainōsis]; rzeczownik	odnowienie	uczynienie nowym				
G343	G343 ἀνακαλύπτω [anakalyptō]; czasownik	odsłaniać					
G344	G344 ἀνακάμπτω [anakamptō]; czasownik	wracać	odwracać się, zawracać				
G345	G345 ἀνακεῖμαι [anakeimai]; czasownik	leżeć przy stole					
G346	G346 ἀνακεφαλαίομαι [anakefalaioō]; czasownik	streszczać (dosł.: sprowadzać pod jedną głowę)	sprowadzać razem				
G347	G347 ἀνακλίνω [anaklinō]; czasownik	kłaść (się lub kogoś na czymś, w czymś)					
G348	G348 ἀνακόπτω [anakoptō]; czasownik	powstrzymywać					
G349	G349 ἀνακράζω [anakradzō]; czasownik	głośno wołać 	wrzeszczeć, krzyczeć				
G350	G350 ἀνακρίνω [anakrinō]; czasownik	badać, przesłuchiwać	wypytywać, wydawać osąd	pociągać do odpowiedzialności			
G351	G351 ἀνάκρισις [anakrisis]; rzeczownik	przesłuchanie					
G352	G352 ἀνακύπτω [anakyptō]; czasownik	wyprostowywać się	stawać prosto				
G353	G353 ἀναλαμβάνω [analambanō]; czasownik	brać (ze sobą, do góry, na siebie)		nosić			
G354	G354 ἀνάληψις [analēmpsis]; rzeczownik	wzięcie do góry	podniesienie				
G355	G355 ἀναλίσκω [analiskō]; czasownik	niszczyć, zniszczyć	zabić				
G356	G356 ἀναλογία [analogia]; rzeczownik	zgodność, równoważność (stąd: w zgodności z)					
G357	G357 ἀναλογίζομαι [analogidzomai]; czasownik	brać pod uwagę	zważać				
G358	G358 ἄναλος [analos]; przymiotnik	pozbawiony soli					
G359	G359 ἀνάλυσις [analysis]; rzeczownik	uwolnienie	rozwiązanie				
G360	G360 ἀναλύω [analyō]; czasownik	uwalniać, zwalniać	rozwiązywać				
G361	G361 ἀναμάρτητος [anamartētos]; przymiotnik	bez grzechu (dosł.: taki, który nie popełnił grzechu lub nie jest zdolny do popełnienia grzechu)					
G362	G362 ἀναμένω [anamenō]; czasownik	oczekiwać (na)					
G363	G363 ἀναμιμνήσκω [anamimnēskō]; czasownik	przypominać (komuś, sobie)					
G364	G364 ἀνάμνησις [anamnēsis]; rzeczownik	przypomnienie sobie czegoś	pamiątka				
G365	G365 ἀνανεόω [ananeoō]; czasownik	odnawiać	czynić nowym				
G366	G366 ἀνανήφω [ananēfō]; czasownik	trzeźwieć	przytomnieć				
G367	G367 Ἀνανίας [Hananias]; rzeczownik	Ananiasz - mąż Safiry, chrześcijanin z Jerozolimy					
G368	G368 ἀναντίρῥητος [anantirrētos]; przymiotnik	niezaprzeczalny	bezsprzeczny				
G369	G369 ἀναντιρῥήτως [anantirrētōs]; przysłówek	bez sprzeciwu					
G370	G370 ἀνάξιος [anaxios]; przymiotnik	niegodny					
G371	G371 ἀναξίως [anaxiōs]; przysłówek	niegodnie					
G372	G372 ἀνάπαυσις [anapausis]; rzeczownik	odpoczynek	wytchnienie				
G373	G373 ἀναπαύω [anapauō]; czasownik	odpoczywać	pokrzepiać	spoczywać na			
G374	G374 ἀναπείθω [anapeithō]; czasownik	namawiać	przekonywać				
G375	G375 ἀναπέμπω [anapempō]; czasownik	odsyłać	wysyłać (z powrotem, do kogoś innego)				
G376	G376 ἀνάπηρος [anapēros]; przymiotnik	okaleczony					
G377	G377 ἀναπίπτω [anapiptō]; czasownik	rozłożyć się	położyć się				
G378	G378 ἀναπληρόω [anaplēroō]; czasownik	czynić pełnym	wypełniać, spełniać, dopełniać				
G379	G379 ἀναπολόγητος [anapologētos]; przymiotnik	nie do obronienia	nie mogący się obronić				
G380	G380 ἀναπτύσσω [anaptyssō]; czasownik	rozwijać					
G381	G381 ἀνάπτω [anaptō]; czasownik	rozpalać	rozniecać (ogień)				
G382	G382 ἀναρίθμητος [anarithmētos]; przymiotnik	niemożliwy do policzenia	niepoliczalny				
G383	G383 ἀνασείω [anaseiō]; czasownik	podburzać					
G384	G384 ἀνασκευάζω [anaskeuadzō]; czasownik	burzyć	wywracać	wypaczać			
G385	G385 ἀνασπάω [anaspaō]; czasownik	wyciągać					
G386	G386 ἀνάστασις [anastasis]; rzeczownik	powstanie	podniesienie	zmartwychwstanie			
G387	G387 ἀναστατόω [anastatoō]; czasownik						
G388	G388 ἀνασταυρόω [anastauroō]; czasownik						
G389	G389 ἀναστενάζω [anastenadzō]; czasownik						
G390	G390 ἀναστρέφω [anastrefō]; czasownik						
G391	G391 ἀναστροφή [anastrofē]; rzeczownik						
G392	G392 ἀνατάσσομαι [anatassomai]; czasownik						
G393	G393 ἀνατέλλω [anatellō]; czasownik						
G394	G394 ἀνατίθεμαι [anatithēmi]; czasownik						
G395	G395 ἀνατολή [anatolē]; rzeczownik						
G396	G396 ἀνατρέπω [anatrepō]; czasownik						
G397	G397 ἀνατρέφω [anatrefō]; czasownik						
G398	G398 ἀναφαίνω [anafainō]; czasownik						
G399	G399 ἀναφέρω [anaferō]; czasownik						
G400	G400 ἀναφωνέω [anafōneō]; czasownik						
G401	G401 ἀνάχυσις [anachysis]; rzeczownik						
G402	G402 ἀναχωρέω [anachōreō]; czasownik						
G403	G403 ἀνάψυξις [anapsyxis]; rzeczownik						
G404	G404 ἀναψύχω [anapsychō]; czasownik						
G405	G405 ἀνδραποδιστής [andrapodistēs]; rzeczownik						
G406	G406 Ἀνδρέας [Andreas]; rzeczownik						
G407	G407 ἀνδρίζομαι [andridzomai]; czasownik						
G408	G408 Ἀνδρόνικος [Andronikos]; rzeczownik						
G409	G409 ἀνδροφόνος [androfonos]; rzeczownik						
G410	G410 ἀνέγκλητος [anenklētos]; przymiotnik						
G411	G411 ἀνεκδιήγητος [anekdiēgētos]; przymiotnik						
G412	G412 ἀνεκλάλητος [aneklalētos]; przymiotnik						
G413	G413 ἀνέκλειπτος [anekleiptos]; przymiotnik						
G414	G414 ἀνεκτότερος [anektos]; przymiotnik						
G415	G415 ἀνελεήμων [aneleēmōn]; przymiotnik						
G416	G416 ἀνεμίζω [anemidzō]; czasownik						
G417	G417 ἄνεμος [anemos]; rzeczownik						
G418	G418 ἀνένδεκτος [anendektos]; przymiotnik						
G419	G419 ἀνεξερεύνητος [anexeraunētos]; przymiotnik						
G420	G420 ἀνεξίκακος [anexikakos]; przymiotnik						
G421	G421 ἀνεξιχνίαστος [anexichniastos]; przymiotnik						
G422	G422 ἀνεπαίσχυντος [anepaischyntos]; przymiotnik						
G423	G423 ἀνεπίληπτος [anepilēmptos]; przymiotnik						
G424	G424 ἀνέρχομαι [anerchomai]; czasownik						
G425	G425 ἄνεσις [anesis]; rzeczownik						
G426	G426 ἀνετάζω [anetadzō]; czasownik						
G427	G427 ἄνευ [aneu]; przyimek						
G428	G428 ἀνεύθετος [aneuthetos]; przymiotnik						
G429	G429 ἀνευρίσκω [aneuriskō]; czasownik						
G430	G430 ἀνέχομαι [anechō]; czasownik						
G431	G431 ἀνέψιος [anepsios]; rzeczownik						
G432	G432 ἄνηθον [anēthon]; rzeczownik						
G433	G433 ἀνήκω [anēkō]; czasownik						
G434	G434 ἀνήμερος [anēmeros]; przymiotnik						
G435	G435 ἀνήρ [anēr]; rzeczownik						
G436	G436 ἀνθίστημι [anthistēmi]; czasownik						
G437	G437 ἀνθομολογέομαι [anthomologeomai]; czasownik						
G438	G438 ἄνθος [anthos]; rzeczownik						
G439	G439 ἀνθρακιά [anthrakia]; rzeczownik						
G440	G440 ἄνθραξ [anthrax]; rzeczownik						
G441	G441 ἀνθρωπάρεσκος [anthrōpareskos]; przymiotnik						
G442	G442 ἀνθρώπινος [anthrōpinos]; przymiotnik						
G443	G443 ἀνθρωποκτόνος [anthrōpoktonos]; przymiotnik						
G444	G444 ἄνθρωπος [anthrōpos]; rzeczownik						
G445	G445 ἀνθυπατεύω [anthypateuō]; czasownik						
G446	G446 ἀνθύπατος [anthypatos]; rzeczownik						
G447	G447 ἀνίημι [aniēmi]; czasownik						
G448	G448 ἀνίλεως [anileōs]; przymiotnik						
G449	G449 ἄνιπτος [aniptos]; przymiotnik						
G450	G450 ἀνίστημι [anistēmi]; czasownik						
G451	G451 Ἄννα [Anna]; rzeczownik						
G452	G452 Ἄννας [Annas]; rzeczownik						
G453	G453 ἀνόητος [anoētos]; przymiotnik						
G454	G454 ἄνοια [anoia]; rzeczownik						
G455	G455 ἀνοίγω [anoigō]; czasownik						
G456	G456 ἀνοικοδομέω [anoikodomeō]; czasownik						
G457	G457 ἄνοιξις [anoixis]; rzeczownik						
G458	G458 ἀνομία [anomia]; rzeczownik						
G459	G459 ἄνομος [anomos]; przymiotnik						
G460	G460 ἀνόμως [anomōs]; przysłówek						
G461	G461 ἀνορθόω [anorthoō]; czasownik						
G462	G462 ἀνόσιος [anosios]; przymiotnik						
G463	G463 ἀνοχή [anochē]; rzeczownik						
G464	G464 ἀνταγωνίζομαι [antagōnidzomai]; czasownik						
G465	G465 ἀντάλλαγμα [antallagma]; rzeczownik						
G466	G466 ἀνταναπληρόω [antanaplēroō]; czasownik						
G467	G467 ἀνταποδίδωμι [antapodidōmi]; czasownik						
G468	G468 ἀνταπόδομα [antapodoma]; rzeczownik						
G469	G469 ἀνταπόδοσις [antapodosis]; rzeczownik						
G470	G470 ἀνταποκρίνομαι [antapokrinomai]; czasownik						
G471	G471 ἀντέπω [anteipon]; czasownik						
G472	G472 ἀντέχομαι [antechō]; czasownik						
G473	G473 ἀντί [anti]; przyimek						
G474	G474 ἀντιβάλλω [antiballō]; czasownik						
G475	G475 ἀντιδιατίθεμαι [antidiatithēmi]; czasownik						
G476	G476 ἀντίδικος [antidikos]; rzeczownik						
G477	G477 ἀντίθεσις [antithesis]; rzeczownik						
G478	G478 ἀντικαθίστημι [antikathistēmi]; czasownik						
G479	G479 ἀντικαλέω [antikaleō]; czasownik						
G480	G480 ἀντίκειμαι [antikeimai]; czasownik						
G481	G481 ἀντικρύ [antikry]; przysłówek						
G482	G482 ἀντιλαμβάνομαι [antilambanō]; czasownik						
G483	G483 ἀντίλεγω [antilegō]; czasownik						
G484	G484 ἀντίληψις [antilēmpsis]; rzeczownik						
G485	G485 ἀντιλογία [antilogia]; rzeczownik						
G486	G486 ἀντιλοιδορέω [antiloidoreō]; czasownik						
G487	G487 ἀντίλυτρον [antilytron]; rzeczownik						
G488	G488 ἀντιμετρέω [antimetreō]; czasownik						
G489	G489 ἀντιμισθία [antimisthia]; rzeczownik						
G490	G490 Ἀντιόχεια [Antiocheia]; rzeczownik						
G491	G491 Ἀντιοχεύς [Antiocheus]; rzeczownik						
